id,the_snippet,the_headline,the_date,the_news_desk
0,Party leaders agreed on a schedule that would end the trial on Wednesday.,Impeachment Briefing: Senate Votes to Block Witnesses,2020-02-01T03:54:11+0000,Washington
1,Readers react as the Republicans vote to block witnesses in President Trump’s impeachment trial.,The Impeachment Trial Nears a Finale,2020-02-01T01:09:03+0000,Letters
2,A new Austin City Limits concert is on PBS. And a Rob Reiner classic comes to Hulu.,What’s on TV Saturday: Billie Eilish and ‘When Harry Met Sally’,2020-02-01T06:00:06+0000,Culture
3,"On a July 25 telephone call with the president of Ukraine, President Trump described Ambassador Yovanovitch as “bad news” and said, ominously, “She’s going to go through some things.”",Diplomat at Center of Trump Impeachment Retires From State Department,2020-02-01T01:16:19+0000,Washington
4,Mark Diehl is back with a suitably savage Saturday grid.,Smuggled Weaponry,2020-02-01T02:40:06+0000,Games
5,The Sanders online army resembles President Trump’s most ardent supporters in more ways than either side might care to admit.,Bernie’s Angry Bros,2020-02-01T01:42:38+0000,OpEd
6,"Have rules limiting changes in historic districts become too restrictive and elitist, as one opinion writer suggested?",Preserving Historic Buildings,2020-02-01T17:00:03+0000,Letters
7,She’s a preschool teacher and he’s a managing partner in an executive search firm.,"Karen Rosenthal, Eric Vorschirm",2020-02-02T05:00:00+0000,Society
8,"For many, it was an awkward and wrenching week of farewells. But most are racing to claim different passports, so they might keep lucrative jobs.","With Brexit Official, Britons Start a ‘Brexodus’ From Brussels",2020-02-01T08:47:23+0000,Foreign
9,Newly released emails show officials at NOAA told the agency’s scientists it did “not approve or support” a controversial agency statement issued after the president falsely said that Alabama was at risk from Hurricane Dorian.,NOAA Leaders Privately Disowned Agency’s Rebuke of Scientists Who Contradicted Trump,2020-02-01T18:58:30+0000,Climate
10,Here’s what you need to know about the week’s top stories.,"Impeachment, Iowa, Super Bowl: Your Weekend Briefing",2020-02-02T12:52:34+0000,NYTNow
11,"The Vermont senator has made exaggerated claims or statements that lacked context about “Medicare for all,” his antiwar record and his history of bipartisanship.",Fact-Checking Bernie Sanders Before the Iowa Caucuses,2020-02-01T16:00:55+0000,Washington
12,"As if the caucusing wasn’t confusing enough, officials will release raw vote totals that could allow candidates to spin the results.",How Will the Winner of the Iowa Caucuses Be Chosen? Here’s What You Should Know,2020-02-01T10:00:21+0000,Politics
13,"With the Iowa caucuses set to kick off the primary season on Monday night, a Democratic race that began as a contest of ideas and ideologies has given way to a fixation on electability.",Democratic Candidates Focus on All-Consuming Hunger to Unseat Trump,2020-02-01T17:00:09+0000,Politics
14,"She is a forceful surrogate for Joe Biden’s campaign, in part because voters like that she has retained her own professional identity: “I admire how she’s always worked.”",Why Jill Biden Is Taking Time Off to Help Her Husband Get a Job,2020-02-01T10:00:21+0000,Politics
15,"With stackable plastic panels, a company called Glice wants to be rink-builder to a warming world.","On Roofs or in Basements, a New Way to Ice Skate",2020-02-01T10:00:21+0000,SundayBusiness
16,The growing uncertainty over the safety of visiting or leaving China is bedeviling companies around the world.,Coronavirus Thwarts Business Travelers Who ‘Need to Be in the Room’,2020-02-01T14:30:35+0000,Business
17,"Kenin, an American in her first Grand Slam final, became the tournament’s youngest singles champion since Maria Sharapova in 2008.",Australian Open: Sofia Kenin Defeats Garbiñe Muguruza for Her First Major Title,2020-02-01T10:51:36+0000,Sports
18,Patrick Mahomes of the Kansas City Chiefs is part of a vanguard redefining the position. But it is a watershed only if it is widespread and persistent.,Is the Black Quarterback Revolution Going to Last?,2020-02-02T08:00:07+0000,Sports
19,"A KFC ad in Australia that infuriated women’s groups showed the power of the #MeToo movement, even as it called back to the many sexist ads of the past.","In a Long History of Sexist Ads and Outrage, It’s the Apology That’s New",2020-02-01T12:00:08+0000,Express
20,"Splitting up, finding a car key and more reader tales of New York City in this week’s Metropolitan Diary.",‘I Had Shoved Everything I Needed Into a Rickety Folding Cart’,2020-02-02T08:00:16+0000,Metropolitan
