,the_snippet,the_headline,the_date,the_news_desk
36,You can set your Twitter account to allow or block posts that may contain objectionable material.,Adjusting Twitter’s Sensitivities,2018-01-02T14:49:55+0000,Business
37,"A selection of books published this week; plus, a peek at what our colleagues around the newsroom are reading.",New & Noteworthy,2018-01-02T17:24:33+0000,BookReview
38,"In failing to contact a key witness, FIFA faces accusations of slowing its inquiry into allegations of failed doping tests by Russian soccer players.",Critics Say FIFA Is Stalling a Doping Inquiry as World Cup Nears,2018-01-03T12:34:15+0000,Sports
39,"The image of a leader being able to launch missiles with the push of one finger has, for decades, instilled fear.","The ‘Nuclear Button’ Explained: For Starters, There’s No Button",2018-01-03T10:28:49+0000,Foreign
40,"Mr. Paul, 22, posted a video that showed a body hanging from a tree in a Japanese forest that is known as a destination for suicide victims.","Logan Paul, YouTube Star, Says Posting Video of Dead Body Was ‘Misguided’",2018-01-02T14:26:53+0000,Business
41,You can set your Twitter account to allow or block posts that may contain objectionable material.,Adjusting Twitter’s Sensitivities,2018-01-02T14:49:55+0000,Business
42,"A selection of books published this week; plus, a peek at what our colleagues around the newsroom are reading.",New & Noteworthy,2018-01-02T17:24:33+0000,BookReview
43,A low-level adviser to the Trump campaign let something slip over drinks. The result is an investigation that has cast a shadow over President Trump’s first year in office.,Listen to ‘The Daily’: How the Russia Inquiry Began,2018-01-02T10:48:36+0000,Podcasts
44,"Ms. Kotb, a longtime NBC News correspondent, has filled in since Mr. Lauer was fired in November over allegations of inappropriate sexual behavior.",Hoda Kotb Named to Replace Matt Lauer as Co-Anchor of NBC’s ‘Today’,2018-01-02T12:47:49+0000,Business
45,"If North and South Korea talk, where does that leave the U.S.? Also, the retirement of Senator Orrin Hatch of Utah might clear the way for Mitt Romney’s return.",Listen to ‘The Daily’: North Korea’s Shifting Dynamics,2018-01-03T10:49:55+0000,
46,"Vivir de forma segura en Caracas, una de las ciudades más peligrosas del mundo, requiere una cuidadosa combinación de planificación y precaución.",Celulares señuelo y vehículos blindados: cómo los venezolanos lidian con la inseguridad,2018-01-01T01:05:54+0000,World
47,Here’s what you need to know to start your day.,"Iran, North Korea, Time’s Up: Your Tuesday Briefing",2018-01-02T05:01:00+0000,NYTNow
48,This word has appeared in nine articles on nytimes.com in the past year.,Word + Quiz: abscond,2018-01-02T05:02:01+0000,Learning
49,The North Korean leader chose a silver-gray suit to deliver a message of conciliation to South Korea — and perhaps signal a reach toward modernity.,"Kim Jong-un Goes Dapper, Updating His Style Along With His Arsenal",2018-01-02T05:51:58+0000,Foreign
